Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
03-FEB-2015,20.405,20.48,19.0025,19.8075,20.405,-0.60,-2.93
04-FEB-2015,19.8075,20.2925,17.9725,20.05,19.8075,0.24,1.22
05-FEB-2015,20.05,20.89,18.26,20.615,20.05,0.56,2.82
06-FEB-2015,20.615,21.24,18.72,20.685,20.615,0.07,0.34
09-FEB-2015,20.685,22.1225,18.5875,22.015,20.685,1.33,6.43
10-FEB-2015,22.015,22.015,19.85,21.1925,22.015,-0.82,-3.74
11-FEB-2015,21.1925,21.5075,18.535,20.5025,21.1925,-0.69,-3.26
12-FEB-2015,20.5025,20.96,17.93,20.1575,20.5025,-0.35,-1.68
13-FEB-2015,20.1575,20.4475,16.98,20.1025,20.1575,-0.05,-0.27
16-FEB-2015,20.1025,21.1175,17.475,20.825,20.1025,0.72,3.59
18-FEB-2015,20.825,21.6475,18.6525,20.9125,20.825,0.09,0.42
19-FEB-2015,20.9125,21.9075,19.4025,20.3975,20.9125,-0.52,-2.46
20-FEB-2015,20.3975,21.5,19.235,21.2675,20.3975,0.87,4.27
23-FEB-2015,21.2675,22.02,19.405,21.6325,21.2675,0.37,1.72
24-FEB-2015,21.6325,22.0675,20.9175,21.55,21.6325,-0.08,-0.38
25-FEB-2015,21.55,21.55,20.215,20.775,21.55,-0.78,-3.60
26-FEB-2015,20.775,21.235,19.9425,20.58,20.775,-0.20,-0.94
27-FEB-2015,20.58,20.58,19.3,19.57,20.58,-1.01,-4.91
28-FEB-2015,19.57,19.57,16.6925,16.97,19.57,-2.60,-13.29
02-MAR-2015,16.97,16.97,15.7425,15.8475,16.97,-1.12,-6.61
03-MAR-2015,15.8475,15.9475,14.98,15.4925,15.8475,-0.36,-2.24
04-MAR-2015,15.4925,15.4925,14.2975,15.1975,15.4925,-0.29,-1.90
05-MAR-2015,15.1975,15.2475,13.97,14.4375,15.1975,-0.76,-5.00
09-MAR-2015,14.4375,16.0075,13.315,15.8125,14.4375,1.38,9.52
10-MAR-2015,15.8125,16.15,14.955,15.5325,15.8125,-0.28,-1.77
11-MAR-2015,15.5325,15.61,14.245,15.13,15.5325,-0.40,-2.59
12-MAR-2015,15.13,15.13,13.7825,14.75,15.13,-0.38,-2.51
13-MAR-2015,14.75,15.235,13.45,14.965,14.75,0.21,1.46
16-MAR-2015,14.965,15.37,14.3275,15.1775,14.965,0.21,1.42
17-MAR-2015,15.1775,15.4625,13.43,15.1275,15.1775,-0.05,-0.33
18-MAR-2015,15.1275,15.7025,13.7225,15.5125,15.1275,0.38,2.55
19-MAR-2015,15.5125,15.5125,12.89,15.1975,15.5125,-0.31,-2.03
20-MAR-2015,15.1975,15.36,13.0825,14.26,15.1975,-0.94,-6.17
23-MAR-2015,14.26,14.58,12.435,14.27,14.26,0.01,0.07
24-MAR-2015,14.27,14.49,12.4525,13.6725,14.27,-0.60,-4.19
25-MAR-2015,13.6725,13.9475,12.36,13.1425,13.6725,-0.53,-3.88
26-MAR-2015,13.1425,15.6075,12.5175,15.1625,13.1425,2.02,15.37
27-MAR-2015,15.1625,15.4025,14.37,14.5,15.1625,-0.66,-4.37
30-MAR-2015,14.5,15.19,14.1075,14.2625,14.5,-0.24,-1.64
31-MAR-2015,14.2625,14.74,13.855,14.4925,14.2625,0.23,1.61
